Facility,Province,District,Sub-District,Private/Public
Nelson Mandela Academic Hospital,Eastern Cape,O Tambo DM,King Sabata Dalindyebo LM,Public Health
Vryheid Hospital,KwaZulu-Natal,Zululand DM,AbaQulusi LM,Public Health
Esangweni CHC,Gauteng,Ekurhuleni MM,Ekurhuleni N1 SD,Public Health
Clicks Pharmacy Ulundi,KwaZulu-Natal,Zululand DM,Ulundi LM,Private Health
Estcourt Hospital,KwaZulu-Natal,Uthukela DM,Inkosi Langalibalele LM,Public Health
Montebello Hospital,KwaZulu-Natal,iLembe DM,Ndwedwe LM,Public Health
Northdale Hospital,KwaZulu-Natal,uMgungundlovu DM,Msunduzi LM,Public Health
Dr Yusuf Dadoo Hospital,Gauteng,West Rand DM,Mogale City LM,Public Health
Stutterheim Hospital,Eastern Cape,Amathole DM,Amahlathi LM,Public Health
Clicks Pharmacy Gateway,KwaZulu-Natal,eThekwini MM,eThekwini MM Sub,Private Health
Sanlam Centre Pinetown Clicks Pharmacy,KwaZulu-Natal,eThekwini MM,eThekwini MM Sub,Private Health
Settlers Hospital,Eastern Cape,Sarah Baartman DM,Makana LM,Public Health
Tongaat CHC,KwaZulu-Natal,eThekwini MM,eThekwini MM Sub,Public Health
Mankweng Hospital,Limpopo,Capricorn DM,Polokwane LM,Public Health
Amajuba Memorial Hospital,Mpumalanga,G Sibande DM,Dr Pixley Ka Isaka Seme LM,Public Health
Frontier Hospital,Eastern Cape,C Hani DM,Enoch Mgijima LM,Public Health
Polokwane Hospital,Limpopo,Capricorn DM,Polokwane LM,Public Health
Universitas (C) Hospital,Free State,Mangaung MM,Bloemfontein SD,Public Health
Northern Cape Specialised Psychiatric Hospital,Northern Cape,Frances Baard DM,Sol Plaatje LM,Public Health
Clicks Pharmacy Constantia,Western Cape,Cape Town MM,CT Southern SD,Private Health
Mgangeni Clinic,KwaZulu-Natal,Ugu DM,Umdoni LM,Public Health
Bertha Gxowa Hospital,Gauteng,Ekurhuleni MM,Ekurhuleni S1 SD,Public Health
McCords Hospital,KwaZulu-Natal,eThekwini MM,eThekwini MM Sub,Public Health
