Province,District MUnicipality,Local Municipality,Name,Longitude,Latitude,ContactPerson,Address,OrgUnitOwnership
Eastern Cape,ec Alfred Nzo District Municipality,ec Matatiele Local Municipality,NHLS Maluti Lab,28.7805,-30.256,,"Maluti CHC, Maluti, 4740",Gov NHLS
Eastern Cape,ec Alfred Nzo District Municipality,ec Matatiele Local Municipality,NHLS Taylor Bequest (Matatiele) Lab,28.5092,-30.6888,,"Taylor Bequest Hospital (Matatiele), Matatiele, 4730",Gov NHLS
Eastern Cape,ec Alfred Nzo District Municipality,ec Mbizana Local Municipality,NHLS Greenville Lab,29.838,-30.8509,,"Greenville Hospital, Bizana, 4800",Gov NHLS
Eastern Cape,ec Alfred Nzo District Municipality,ec Mbizana Local Municipality,NHLS St Patrick's Lab,29.8545,-30.8636,,"St Patrick's Hospital, Bizana, 4800",Gov NHLS
Eastern Cape,ec Alfred Nzo District Municipality,ec Ntabankulu Local Municipality,NHLS Sipetu Lab,28.977041,-30.8965,,Sipetu Hospital,Gov NHLS
Eastern Cape,ec Alfred Nzo District Municipality,ec Umzimvubu Local Municipality,NHLS Madzikane kaZulu Mem Lab,29.0043,-30.8817,,"Madzikane kaZulu Memorial Hospital, Mount Frere, 5090",Gov NHLS
Eastern Cape,ec Alfred Nzo District Municipality,ec Umzimvubu Local Municipality,NHLS Mount Ayliff Lab,29.3704,-30.7967,,"Mount Ayliff Hospital, Mount Ayliff, 4735",Gov NHLS
Eastern Cape,ec Amathole District Municipality,ec Amahlathi Local Municipality,NHLS SS Gida Lab,27.1481,-32.6812,,"SS Gida Hospital, Cata Road, Keiskammahoek, 5670",Gov NHLS
Eastern Cape,ec Amathole District Municipality,ec Mbhashe Local Municipality,NHLS Madwaleni Lab,28.8788,-32.0958,,"Madwaleni Hospital, Elliotdale, 5070",Gov NHLS
Eastern Cape,ec Amathole District Municipality,ec Mbhashe Local Municipality,NHLS Willowvale Lab,28.512,-32.265,,"Willowvale CHC, Willowvale, 5040",Gov NHLS
Eastern Cape,ec Amathole District Municipality,ec Mnquma Local Municipality,NHLS Butterworth Lab,28.1388,-32.3323,,"Butterworth Hospital, Scanlen Street, Butterworth, 4960",Gov NHLS
Eastern Cape,ec Amathole District Municipality,ec Mnquma Local Municipality,NHLS Tafalofefe Lab,28.4751,-32.4296,,"Tafalofefe Hospital, Kabakazi Centane, Butterworth, 4960",Gov NHLS
Eastern Cape,ec Amathole District Municipality,ec Raymond Mhlaba Local Municipality,NHLS Bedford Lab,26.09012,-32.6753,,Bedford Hospital,Gov NHLS
Eastern Cape,ec Amathole District Municipality,ec Raymond Mhlaba Local Municipality,NHLS Victoria Lab,26.8231,-32.7892,,"Victoria Hospital, Alice, 5700",Gov NHLS
Eastern Cape,ec Buffalo City Metropolitan Municipality,ec Buffalo City Health sub-District,Ampath East London Lab,27.904421,-32.9997,,"58 St James Street, Southernwood, East London",Private
Eastern Cape,ec Buffalo City Metropolitan Municipality,ec Buffalo City Health sub-District,Ampath King William's Town Lab,27.399826,-32.8838,,"Shop 4, Abantu Mall, King William's Town",Private
Eastern Cape,ec Buffalo City Metropolitan Municipality,ec Buffalo City Health sub-District,NHLS Bhisho Lab,27.4374,-32.8494,,"Bhisho Hospital, Komga Road, Bhisho, 5605",Gov NHLS
Eastern Cape,ec Buffalo City Metropolitan Municipality,ec Buffalo City Health sub-District,NHLS Cecilia Makiwane Lab,27.7409,-32.9328,,"Cecilia Makiwane Hospital, Billie Road, Mdantsane, 5219",Gov NHLS
Eastern Cape,ec Buffalo City Metropolitan Municipality,ec Buffalo City Health sub-District,NHLS Duncan Village Lab,27.88599,-33.0078,,Duncan Village CHC,Gov NHLS
Eastern Cape,ec Buffalo City Metropolitan Municipality,ec Buffalo City Health sub-District,NHLS East London Lab,27.8916,-32.996,,"Frere Hospital, Amalinda Drive, East London, 5201",Gov NHLS
Eastern Cape,ec Chris Hani District Municipality,ec Emalahleni Local Municipality,NHLS Glen Grey Lab,27.1994,-31.7026,,"Glen Grey Hospital, Indwe Road, Lady Frere, 5410",Gov NHLS
Eastern Cape,ec Chris Hani District Municipality,ec Engcobo Local Municipality,NHLS All Saints Lab,28.0504,-31.662,,"All Saints Hospital, All Saints Mission, Engcobo 5050",Gov NHLS
Eastern Cape,ec Chris Hani District Municipality,ec Enoch Mgijima Local Municipality,NHLS Hewu Lab,26.8052,-32.1727,,"Hewu Hospital, Ekuphumleni Main Road, Whittlesea, 5360",Gov NHLS
Eastern Cape,ec Chris Hani District Municipality,ec Enoch Mgijima Local Municipality,NHLS Queenstown Lab,26.87858,-31.8987,,"Frontier Hospital, Kingsway Avenue, Queenstown, 5320",Gov NHLS
Eastern Cape,ec Chris Hani District Municipality,ec Intsika Yethu Local Municipality,NHLS Cofimvaba Lab,27.583,-32.0124,,"Cofimvaba Hospital, Cofimvaba 5380",Gov NHLS
Eastern Cape,ec Chris Hani District Municipality,ec Inxuba Yethemba Local Municipality,NHLS Cradock Lab,25.6494,-32.1751,,"Hospital Street, Cradock, 5880",Gov NHLS
Eastern Cape,ec Chris Hani District Municipality,ec Sakhisizwe Local Municipality,NHLS Cala Lab,27.6827,-31.5224,,"Cala Hospital, Cala 5455",Gov NHLS
Eastern Cape,ec Joe Gqabi District Municipality,ec Elundini Local Municipality,NHLS Taylor Bequest (Elundini) Lab,28.510426,-30.6901,,"Taylor Bequest Hospital (Elundini), Police Road, Mount Fletcher, 4770",Gov NHLS
Eastern Cape,ec Joe Gqabi District Municipality,ec Senqu Local Municipality,NHLS Empilisweni Lab,27.3744,-30.532,,"Empilisweni Hospital, 937 Zastron Street, Sterkspruit, 9762",Gov NHLS
Eastern Cape,ec Joe Gqabi District Municipality,ec Walter Sisulu Local Municipality,NHLS Aliwal North Lab,26.7072,-30.697,,"Aliwal North Hospital, Park Avenue, Aliwal North 9750",Gov NHLS
Eastern Cape,ec Joe Gqabi District Municipality,ec Walter Sisulu Local Municipality,Walter Sisulu Univ NHLS,,,Ernesto Blanco,"Walter Sisulu University Private Bag X1 UNITRA 5117, Nelson Mandela Drive",Gov NHLS
Eastern Cape,ec Nelson Mandela Bay Municipality,ec Nelson Mandela A Health sub-District,NHLS Dora Nginza Lab,25.5592,-33.8756,,"Dora Nginza Hospital, Spondo Road, Zwide, Port Elizabeth, 6001",Gov NHLS
Eastern Cape,ec Nelson Mandela Bay Municipality,ec Nelson Mandela B Health sub-District,Ampath Pickering Street Lab,25.5714,-33.9473,,"13 Pickering Street, Newton Park",Private
Eastern Cape,ec Nelson Mandela Bay Municipality,ec Nelson Mandela B Health sub-District,Ampath Uitenhage Lab,25.391914,-33.765,,"Cuyler Hospital, Cuyler Street, Uitenhage",Private
Eastern Cape,ec Nelson Mandela Bay Municipality,ec Nelson Mandela B Health sub-District,NHLS St Alban's Corr Lab,25.34376,-33.9072,,"St Albans Correctional Centre, Port Elizabeth, 6000",Gov NHLS
Eastern Cape,ec Nelson Mandela Bay Municipality,ec Nelson Mandela B Health sub-District,NHLS Uitenhage Lab,25.4068,-33.7416,,"Uitenhage Hospital, Channer Street, Uitenhage, 6230",Gov NHLS
Eastern Cape,ec Nelson Mandela Bay Municipality,ec Nelson Mandela C Health sub-District,Ampath Greenacres Lab,25.5799,-33.9517,,"Netcare Greenacres Hospital, Suite 200, Rochelle Drive, Greenacres, Port Elizabeth",Private
Eastern Cape,ec Nelson Mandela Bay Municipality,ec Nelson Mandela C Health sub-District,Ampath Lovemore Heights Lab,25.536569,-33.994,,"Greenways Office Park, 4 Greenways Avenue, Cnr Buffelsfontein and Melsetter Roads, Port Elizabeth",Private
Eastern Cape,ec Nelson Mandela Bay Municipality,ec Nelson Mandela C Health sub-District,Ampath Mercantile Lab,25.583805,-33.9361,,"Mercantile Hospital, Suite 307, Durban Road, Korsten",Private
Eastern Cape,ec Nelson Mandela Bay Municipality,ec Nelson Mandela C Health sub-District,Ampath St Georges Lab,25.604959,-33.968,,"St Georges Hospital, Suite 302B, Park Drive, Port Elizabeth",Private
Eastern Cape,ec Nelson Mandela Bay Municipality,ec Nelson Mandela C Health sub-District,NHLS Livingstone Lab,25.5707,-33.9252,,"Livingstone Hospital, Stanford Road, Korsten, Port Elizabeth, 6000",Gov NHLS
Eastern Cape,ec Nelson Mandela Bay Municipality,ec Nelson Mandela C Health sub-District,NHLS Port Elizabeth Prov Lab,25.5968,-33.9577,,"Port Elizabeth Provincial Hospital, Buckingham Road, Mount Croix, Port Elizabeth, 6001",Gov NHLS
Eastern Cape,ec Oliver Tambo District Municipality,ec Ingquza Hill Local Municipality,NHLS Holy Cross Lab,29.4954,-31.0813,,"Holy Cross Hospital, Flagstaff, 4810",Gov NHLS
Eastern Cape,ec Oliver Tambo District Municipality,ec Ingquza Hill Local Municipality,NHLS St Elizabeth's Lab,29.5655,-31.36,,"St Elizabeth's Hospital, Lusikisiki, 4820",Gov NHLS
Eastern Cape,ec Oliver Tambo District Municipality,ec King Sabata Dalindyebo Local Municipality,Ampath Mthatha Lab,28.784933,-31.5908,,"St Mary's Private Hospital, Mthatha",Private
Eastern Cape,ec Oliver Tambo District Municipality,ec King Sabata Dalindyebo Local Municipality,Lancet St Mary's Lab,28.785432,-31.5909,,"St Mary's Private Hospital, 30 Durham Street, Norwood, Mthatha",Private
Eastern Cape,ec Oliver Tambo District Municipality,ec King Sabata Dalindyebo Local Municipality,NHLS Mthatha Lab,28.7644,-31.5875,,"Nelson Mandela Academic Hospital, Sissons Street, Mthatha, 5100",Gov NHLS
Eastern Cape,ec Oliver Tambo District Municipality,ec King Sabata Dalindyebo Local Municipality,NHLS Zitulele Lab,28.7592,-31.8079,,"Zitulele Hospital, Mqanduli, 5080",Gov NHLS
Eastern Cape,ec Oliver Tambo District Municipality,ec Mhlontlo Local Municipality,NHLS Dr Malizo Mpehle Mem Lab,28.778056,-31.3165,,"Dr Malizo Mpehle Memorial Hospital, Main Road, Tsolo, 5170",Gov NHLS
Eastern Cape,ec Oliver Tambo District Municipality,ec Mhlontlo Local Municipality,NHLS Nessie Knight Lab,28.86957656,-31.1578,,Nessie Knight Hospital,Gov NHLS
Eastern Cape,ec Oliver Tambo District Municipality,ec Mhlontlo Local Municipality,NHLS Qumbu Lab,28.8704,-31.1619,,"Qumbu CHC, Goqwana Road, Qumbu, 5180",Gov NHLS
Eastern Cape,ec Oliver Tambo District Municipality,ec Mhlontlo Local Municipality,NHLS St Lucy's Lab,28.7508,-31.3034,,St Lucy's Hospital,Gov NHLS
Eastern Cape,ec Oliver Tambo District Municipality,ec Nyandeni Local Municipality,NHLS Canzibe Lab,29.0658,-31.8089,,"Canzibe Hospital, Ngqeleni, 5140",Gov NHLS
Eastern Cape,ec Oliver Tambo District Municipality,ec Nyandeni Local Municipality,NHLS St Barnabas Lab,29.0247,-31.5191,,"St Barnabas Hospital, Port St John Road, Libode, 5160",Gov NHLS
Eastern Cape,ec Oliver Tambo District Municipality,ec Port St Johns Local Municipality,NHLS Bambisana Lab,29.5645,-31.3386,,"Bambisana Hospital, Lusikisiki, 4820",Gov NHLS
Eastern Cape,ec Oliver Tambo District Municipality,ec Port St Johns Local Municipality,NHLS Isilimela Lab,29.5427,-31.6285,,"Isilimela Hospital, Port St Johns, 5120",Gov NHLS
Eastern Cape,ec Oliver Tambo District Municipality,ec Port St Johns Local Municipality,NHLS Port St John Lab,29.542709,-31.6284,,Port St Johns CHC,Gov NHLS
Eastern Cape,ec Sarah Baartman District Municipality,ec Blue Crane Route Local Municipality,NHLS Somerset East Lab,25.5909,-32.7329,,"Andries Vosloo Hospital, Somerset East, 5850",Gov NHLS
