Province,DistrictName,LocalMunicapalityName,FacilityName,longitude,latitude,contactPerson,Address,OrgUnitType
Gauteng,gp Ekurhuleni Metropolitan Municipality,gp Ekurhuleni East 1 Health sub-District,gp Daveyton Main CDC,28.41445,-26.1526,,"9307 Empilweni Street, Daveyton",Community Day Centre
Gauteng,gp Ekurhuleni Metropolitan Municipality,gp Ekurhuleni North 2 Health sub-District,gp Mary Moodley Memorial CDC,28.30066,-26.2141,,"732 Khan Crescent, Actonville, Benoni, 1501",Community Day Centre
Gauteng,gp Sedibeng District Municipality,gp Emfuleni Local Municipality,gp Bophelong CDC (Emfuleni),27.79729,-26.6939,,"632 Matheo Street, Bophelong",Community Day Centre
Gauteng,gp Sedibeng District Municipality,gp Emfuleni Local Municipality,gp Empilisweni CDC,27.8735,-26.5476,,"7724 Ezindimevini and Johan van der Merwe Streets, Sebokeng Unit 7",Community Day Centre
Gauteng,gp Sedibeng District Municipality,gp Lesedi Local Municipality,gp Ratanda CDC,28.32676,-26.5547,,"2844 Boschoek Street, Ratanda, Heidelberg",Community Day Centre
Gauteng,gp Sedibeng District Municipality,gp Midvaal Local Municipality,gp Midvaal CDC,28.01704,-26.5573,,"28 Mitchell Road, Meyerton",Community Day Centre
Western Cape,wc Cape Winelands District Municipality,wc Breede Valley Local Municipality,wc Worcester CDC,19.46008,-33.6449,,Sugget Street,Community Day Centre
Western Cape,wc Cape Winelands District Municipality,wc Drakenstein Local Municipality,wc Mbekweni CDC,18.99278,-33.675,,,Community Day Centre
Western Cape,wc Cape Winelands District Municipality,wc Drakenstein Local Municipality,wc TC Newman CDC,18.9875,-33.723,,Cnr Rosary and Broadway School,Community Day Centre
Western Cape,wc Cape Winelands District Municipality,wc Drakenstein Local Municipality,wc Wellington CDC,19.00472,-33.6391,,"Van Wykvlei, Wellington",Community Day Centre
Western Cape,wc Cape Winelands District Municipality,wc Stellenbosch Local Municipality,wc Cloetesville CDC,18.85583,-33.9227,,"Cnr Tenant Street and Bell Street, Stellenbosch",Community Day Centre
Western Cape,wc Cape Winelands District Municipality,wc Witzenberg Local Municipality,wc Ceres CDC,19.30133,-33.3634,,"Rivierkant Street, Ceres",Community Day Centre
Western Cape,wc Central Karoo District Municipality,wc Beaufort West Local Municipality,wc Beaufort West CDC,22.6075,-32.3527,,Van Schalkwyk Street,Community Day Centre
Western Cape,wc City of Cape Town Metropolitan Municipality,wc Cape Town Eastern Health sub-District,wc Dr Ivan Toms CDC,18.672228,-33.9918,,,Community Day Centre
Western Cape,wc City of Cape Town Metropolitan Municipality,wc Cape Town Eastern Health sub-District,wc Gordon's Bay CDC,18.87944,-34.1532,,"Moumtainside Boulevard and Sir Lowrys Pass Road, Gordons Bay",Community Day Centre
Western Cape,wc City of Cape Town Metropolitan Municipality,wc Cape Town Eastern Health sub-District,wc Gustrouw CDC,18.85211,-34.1347,,"89 Hassan Khan Avenue, Strand",Community Day Centre
Western Cape,wc City of Cape Town Metropolitan Municipality,wc Cape Town Eastern Health sub-District,wc Ikhwezi CDC,18.86622,-34.1137,,,Community Day Centre
Western Cape,wc City of Cape Town Metropolitan Municipality,wc Cape Town Eastern Health sub-District,wc Kleinvlei CDC,18.71758,-33.9869,,Cnr Melkbos and Albert Philander Road,Community Day Centre
Western Cape,wc City of Cape Town Metropolitan Municipality,wc Cape Town Eastern Health sub-District,wc Macassar CDC,18.76369,-34.061,,"Cnr Hospital and Musica Street, Macassar, Cape Town, 7130",Community Day Centre
Western Cape,wc City of Cape Town Metropolitan Municipality,wc Cape Town Eastern Health sub-District,wc Mfuleni CDC,18.68186,-34.0052,,"Church Street, Mfuleni, Blackheath",Community Day Centre
Western Cape,wc City of Cape Town Metropolitan Municipality,wc Cape Town Eastern Health sub-District,wc Nomzamo CDC,18.424045,-33.9248,,,Community Day Centre
Western Cape,wc City of Cape Town Metropolitan Municipality,wc Cape Town Eastern Health sub-District,wc Sir Lowry's Pass CDC,18.90741,-34.1205,,Ndan Street,Community Day Centre
Western Cape,wc City of Cape Town Metropolitan Municipality,wc Cape Town Eastern Health sub-District,wc Somerset West CDC,18.84815,-34.0857,,,Community Day Centre
Western Cape,wc City of Cape Town Metropolitan Municipality,wc Cape Town Eastern Health sub-District,wc Strand CDC,18.83046,-34.1167,,"Gortland Place, 37 Main Road, Strand, 7140",Community Day Centre
Western Cape,wc City of Cape Town Metropolitan Municipality,wc Cape Town Northern Health sub-District,wc Bothasig CDC,,,,,Community Day Centre
Western Cape,wc City of Cape Town Metropolitan Municipality,wc Cape Town Northern Health sub-District,wc Durbanville CDC,18.65422,-33.8301,,"De Villiers Avenue, Durbanville, Cape Town, 7550",Community Day Centre
Western Cape,wc City of Cape Town Metropolitan Municipality,wc Cape Town Northern Health sub-District,wc Scottsdene CDC,18.71931,-33.8654,,"Eoan Avenue, Northpine, Cape Town, 7560",Community Day Centre
Western Cape,wc City of Cape Town Metropolitan Municipality,wc Cape Town Southern Health sub-District,wc Grassy Park CDC,18.49159,-34.0437,,"Victoria Road, Grassy Park",Community Day Centre
Western Cape,wc City of Cape Town Metropolitan Municipality,wc Cape Town Southern Health sub-District,wc Hout Bay Harbour CDC,18.34268,-34.0541,,Karbonkel Street,Community Day Centre
Western Cape,wc City of Cape Town Metropolitan Municipality,wc Cape Town Southern Health sub-District,wc Lady Michaelis CDC,18.46472,-34.0215,,"Burnham Road, Plumstead, Cape Town, 7800",Community Day Centre
Western Cape,wc City of Cape Town Metropolitan Municipality,wc Cape Town Southern Health sub-District,wc Lotus River CDC,18.5078,-34.0265,,Cnr Anita and Delia Road,Community Day Centre
Western Cape,wc City of Cape Town Metropolitan Municipality,wc Cape Town Southern Health sub-District,wc Ocean View CDC,18.35092,-34.148,,,Community Day Centre
Western Cape,wc City of Cape Town Metropolitan Municipality,wc Cape Town Southern Health sub-District,wc Pelican Park CDC,,,Tessa Carolissen,"Cnr Babbler Street & Oystercatcher Road, Pelican Park, 7941",Community Day Centre
Western Cape,wc City of Cape Town Metropolitan Municipality,wc Cape Town Western Health sub-District,wc Albow Gardens CDC,18.49092,-33.8978,,Cnr Albow and Soul Streets,Community Day Centre
Western Cape,wc City of Cape Town Metropolitan Municipality,wc Cape Town Western Health sub-District,wc Albow Gardens CDC (Old),18.49,-33.897,,,Community Day Centre
