ADM0_PCODE,ADM0_EN,ADM1_PCODE,ADM1_ID,ADM1_EN,ADM1_TYPE,ADM2_PCODE,ADM2_ID,ADM2_EN,ADM2_TYPE,ADM3_PCODE,ADM3_ID,ADM3_EN,ADM3_REF,ADM3_TYPE,POP_SOURCE,p0_04,p05_09,p10_14,p15_19,p20_24,p25_29,p30_34,p35_39,p40_44,p45_49,p50_54,p55_59,p60_64,p65_69,p70_74,p75_79,p80_84,p85plus,p_Total
ZA,South Africa,ZA2,EC,Eastern Cape,Province,ZA212,DC12,Amathole,District Municipality,ZA2122,EC122,Mnquma,Mnquma,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,26611,28822,26136,35857,27446,23989,16936,8054,7805,7463,7359,8255,7470,5305,3951,2535,1437,1382,246813
ZA,South Africa,ZA2,EC,Eastern Cape,Province,ZA212,DC12,Amathole,District Municipality,ZA2123,EC123,Great Kei,Great Kei,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,3095,3243,2336,3508,3296,3454,3378,1646,1188,1395,1007,1129,1047,675,616,333,179,166,31692
ZA,South Africa,ZA2,EC,Eastern Cape,Province,ZA212,DC12,Amathole,District Municipality,ZA2124,EC124,Amahlathi,Amahlathi,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,10077,12422,9551,11355,11104,9980,9158,3612,3670,4136,4222,4147,3073,1904,1360,1061,440,553,101826
ZA,South Africa,ZA2,EC,Eastern Cape,Province,ZA212,DC12,Amathole,District Municipality,ZA2126,EC126,Ngqushwa,Ngqushwa,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,6616,7474,5744,6915,6150,5587,4804,2466,2769,2430,2558,2746,2277,1816,1349,908,529,555,63694
ZA,South Africa,ZA2,EC,Eastern Cape,Province,ZA212,DC12,Amathole,District Municipality,ZA2129,EC129,Raymond Mhlaba,Raymond Mhlaba,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,14410,17229,14874,19427,17013,17422,14804,6302,6653,5976,5823,5665,5046,2963,2719,1482,728,979,159515
ZA,South Africa,ZA2,EC,Eastern Cape,Province,ZA213,DC13,Chris Hani,District Municipality,ZA2131,EC131,Inxuba Yethemba,Inxuba Yethemba,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,8000,8661,7646,7271,7190,7205,5852,3398,2656,2819,2625,2066,1974,1437,884,438,205,165,70493
ZA,South Africa,ZA2,EC,Eastern Cape,Province,ZA213,DC13,Chris Hani,District Municipality,ZA2135,EC135,Intsika Yethu,Intsika Yethu,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,18412,21794,21006,17820,12410,12058,10056,3975,4388,4479,4353,5017,5075,4457,2739,1989,1152,979,152159
ZA,South Africa,ZA2,EC,Eastern Cape,Province,ZA213,DC13,Chris Hani,District Municipality,ZA2136,EC136,Emalahleni,Emalahleni,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,15828,17970,16197,15184,11330,9062,7808,3776,3455,3591,3281,3967,3906,3113,2443,1937,827,860,124532
ZA,South Africa,ZA2,EC,Eastern Cape,Province,ZA213,DC13,Chris Hani,District Municipality,ZA2137,EC137,Engcobo,Engcobo,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,24220,24034,23370,17963,15674,12671,10172,4407,4484,3954,3865,4460,3914,3053,2498,1591,852,832,162014
ZA,South Africa,ZA2,EC,Eastern Cape,Province,ZA213,DC13,Chris Hani,District Municipality,ZA2138,EC138,Sakhisizwe,Sakhisizwe,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,9023,7926,7742,7898,6579,5476,4754,2249,2036,1791,1774,1804,1503,1028,842,756,376,291,63846
ZA,South Africa,ZA2,EC,Eastern Cape,Province,ZA213,DC13,Chris Hani,District Municipality,ZA2139,EC139,Enoch Mgijima,Enoch Mgijima,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,30695,34056,30533,30295,27154,26236,22371,10351,10049,8693,8156,8067,6918,4879,3817,2419,1190,1132,267011
ZA,South Africa,ZA2,EC,Eastern Cape,Province,ZA214,DC14,Joe Gqabi,District Municipality,ZA2141,EC141,Elundini,Elundini,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,17250,18355,18677,20145,14797,12488,10282,4863,4507,3818,3994,3920,3703,3048,2173,1281,875,752,144929
ZA,South Africa,ZA2,EC,Eastern Cape,Province,ZA214,DC14,Joe Gqabi,District Municipality,ZA2142,EC142,Senqu,Senqu,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,17152,18299,16429,18180,14532,13559,10512,5746,4316,3748,3550,3720,3779,2713,1972,1051,768,694,140720
ZA,South Africa,ZA2,EC,Eastern Cape,Province,ZA214,DC14,Joe Gqabi,District Municipality,ZA2145,EC145,Walter Sisulu,Walter Sisulu,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,10027,10806,10180,9430,9194,8425,8825,3669,3433,2987,2702,2308,2057,1550,720,599,192,160,87263
ZA,South Africa,ZA2,EC,Eastern Cape,Province,ZA215,DC15,O.R.Tambo,District Municipality,ZA2153,EC153,Ngquza Hill,Ngquza Hill,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,44321,43294,42247,41519,32613,25544,18614,10295,7696,6884,6077,6230,4666,4333,3769,2481,1575,1219,303379
ZA,South Africa,ZA2,EC,Eastern Cape,Province,ZA215,DC15,O.R.Tambo,District Municipality,ZA2154,EC154,Port St Johns,Port St Johns,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,24290,23244,23716,22923,19269,13274,8961,5116,4115,3818,3780,3424,3065,2773,1615,1649,786,964,166779
ZA,South Africa,ZA2,EC,Eastern Cape,Province,ZA215,DC15,O.R.Tambo,District Municipality,ZA2155,EC155,Nyandeni,Nyandeni,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,42010,42581,41566,42126,34593,26229,19508,9935,9117,8076,6628,7054,6509,4783,3503,2773,1318,1394,309702
ZA,South Africa,ZA2,EC,Eastern Cape,Province,ZA215,DC15,O.R.Tambo,District Municipality,ZA2156,EC156,Mhlontlo,Mhlontlo,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,23856,24938,24620,24917,18973,15752,11665,6207,5583,5669,5127,5704,4551,4508,2803,2111,1137,1055,189176
ZA,South Africa,ZA2,EC,Eastern Cape,Province,ZA215,DC15,O.R.Tambo,District Municipality,ZA2157,EC157,King Sabata Dalindyebo,King Sabata Dalindyebo,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,56602,57650,52665,66094,59816,51181,38946,19193,16766,14402,13496,12545,9388,7510,4980,3544,1861,1709,488349
ZA,South Africa,ZA2,EC,Eastern Cape,Province,ZA244,DC44,Alfred Nzo,District Municipality,ZA2441,EC441,Matatiele,Matatiele,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,27507,28102,26571,28887,22319,19876,14949,8045,6717,5553,5047,5862,5820,5337,3699,2216,1625,1315,219447
ZA,South Africa,ZA2,EC,Eastern Cape,Province,ZA244,DC44,Alfred Nzo,District Municipality,ZA2442,EC442,Umzimvubu,Umzimvubu,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,23451,25308,24345,26586,22341,18149,13391,6916,5831,5405,5128,4871,5186,4637,3915,1931,1072,1158,199620
ZA,South Africa,ZA2,EC,Eastern Cape,Province,ZA244,DC44,Alfred Nzo,District Municipality,ZA2443,EC443,Mbizana,Mbizana,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,47802,46662,43793,45786,33547,25292,18942,9224,8648,7215,6173,6766,4643,5280,3961,2450,1866,1898,319948
ZA,South Africa,ZA2,EC,Eastern Cape,Province,ZA244,DC44,Alfred Nzo,District Municipality,ZA2444,EC444,Ntabankulu,Ntabankulu,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,18449,17316,16318,18001,14072,11009,7607,4054,3247,2670,3023,2646,2801,2836,1752,1213,1002,833,128848
ZA,South Africa,ZA7,GT,Gauteng,Province,ZA797,EKU,Ekurhuleni,Metropolitan Municipality,ZA7970,EKU,Ekurhuleni,Ekurhuleni,Metropolitan Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,286584,252921,227289,228214,299954,346003,299835,332482,271136,220389,169829,136447,101492,92239,58927,30671,14276,10418,3379104
ZA,South Africa,ZA5,KZN,KwaZulu-Natal,Province,ZA595,ETH,eThekwini,Metropolitan Municipality,ZA5950,ETH,eThekwini,eThekwini,Metropolitan Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,388017,363886,341665,254032,328344,354904,302500,315374,237825,196616,162946,135790,109950,93029,59360,33616,14436,9942,3702231
ZA,South Africa,ZA4,FS,Free State,Province,ZA416,DC16,Xhariep,District Municipality,ZA4161,FS161,Letsemeng,Letsemeng,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,3501,3396,3058,4475,4449,4142,2727,2891,2223,2018,1863,1661,1216,1085,581,436,194,127,40044
ZA,South Africa,ZA4,FS,Free State,Province,ZA416,DC16,Xhariep,District Municipality,ZA4162,FS162,Kopanong,Kopanong,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,4385,4591,4031,5061,4397,4563,4781,3301,2415,2591,2538,2382,1405,1527,948,521,371,191,49999
ZA,South Africa,ZA4,FS,Free State,Province,ZA416,DC16,Xhariep,District Municipality,ZA4163,FS163,Mohokare,Mohokare,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,3377,3809,3207,4485,2912,3502,2715,2071,1931,1648,1327,1268,1044,1119,606,301,361,158,35840
ZA,South Africa,ZA4,FS,Free State,Province,ZA418,DC18,Lejweleputswa,District Municipality,ZA4181,FS181,Masilonyana,Masilonyana,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,6144,6093,5323,5701,5661,5961,4605,4742,3900,3250,3476,2379,2169,1344,880,487,413,244,62770
ZA,South Africa,ZA4,FS,Free State,Province,ZA418,DC18,Lejweleputswa,District Municipality,ZA4182,FS182,Tokologo,Tokologo,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,3082,2538,2682,3005,2389,2563,2122,1641,1848,1995,1498,1343,841,671,470,161,187,111,29149
ZA,South Africa,ZA4,FS,Free State,Province,ZA418,DC18,Lejweleputswa,District Municipality,ZA4183,FS183,Tswelopele,Tswelopele,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,5097,4791,4785,4991,4217,4194,3365,2751,2354,2708,2290,1915,1384,873,917,436,176,129,47373
ZA,South Africa,ZA4,FS,Free State,Province,ZA418,DC18,Lejweleputswa,District Municipality,ZA4184,FS184,Matjhabeng,Matjhabeng,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,37850,35980,33328,38960,42271,44489,38177,30860,24939,24235,24383,19495,13615,8511,5828,3561,1658,974,429113
ZA,South Africa,ZA4,FS,Free State,Province,ZA418,DC18,Lejweleputswa,District Municipality,ZA4185,FS185,Nala,Nala,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,8406,8134,7494,7305,6347,7231,6117,5385,4371,4149,3342,3026,2407,2050,1425,694,352,282,78515
ZA,South Africa,ZA4,FS,Free State,Province,ZA419,DC19,Thabo Mofutsanyane,District Municipality,ZA4191,FS191,Setsoto,Setsoto,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,12429,11700,11640,12974,10881,12302,9654,7406,5740,4720,4472,3612,3199,2826,1500,1080,716,510,117362
ZA,South Africa,ZA4,FS,Free State,Province,ZA419,DC19,Thabo Mofutsanyane,District Municipality,ZA4192,FS192,Dihlabeng,Dihlabeng,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,13053,13054,12068,14197,13512,14730,12849,9664,7558,7381,5880,4838,4125,3147,1825,933,830,400,140044
ZA,South Africa,ZA4,FS,Free State,Province,ZA419,DC19,Thabo Mofutsanyane,District Municipality,ZA4193,FS193,Nketoana,Nketoana,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,5909,6931,6717,6740,5888,7122,5491,4042,3150,2569,2309,2417,2064,1435,1004,584,288,233,64893
ZA,South Africa,ZA4,FS,Free State,Province,ZA419,DC19,Thabo Mofutsanyane,District Municipality,ZA4194,FS194,Maluti a Phofung,Maluti a Phofung,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,35807,36449,35623,40388,38092,34975,29180,18452,16211,15289,13124,11656,10457,7469,4872,2639,1372,1396,353452
ZA,South Africa,ZA4,FS,Free State,Province,ZA419,DC19,Thabo Mofutsanyane,District Municipality,ZA4195,FS195,Phumelela,Phumelela,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,4503,4727,5240,5648,5057,4917,3997,2969,2858,2313,2021,1835,1153,959,890,409,363,194,50054
ZA,South Africa,ZA4,FS,Free State,Province,ZA419,DC19,Thabo Mofutsanyane,District Municipality,ZA4196,FS196,Mantsopa,Mantsopa,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,5896,5437,4714,5262,5431,5894,4714,3154,2516,2277,2466,1784,1343,1020,680,460,215,260,53525
ZA,South Africa,ZA4,FS,Free State,Province,ZA420,DC20,Fezile Dabi,District Municipality,ZA4201,FS201,Moqhaka,Moqhaka,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,12841,12729,12358,14351,13520,13726,12725,11509,9805,8570,7347,7168,6137,4594,3306,1975,1290,779,154732
ZA,South Africa,ZA4,FS,Free State,Province,ZA420,DC20,Fezile Dabi,District Municipality,ZA4203,FS203,Ngwathe,Ngwathe,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,11889,10902,10173,10453,10508,10666,9085,7705,6929,6191,5573,4536,4234,3679,3376,1615,893,499,118907
ZA,South Africa,ZA4,FS,Free State,Province,ZA420,DC20,Fezile Dabi,District Municipality,ZA4204,FS204,Metsimaholo,Metsimaholo,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,13898,13172,11755,14377,16191,16971,16901,14100,11279,9362,7359,5546,4058,3415,2829,1419,660,271,163564
ZA,South Africa,ZA4,FS,Free State,Province,ZA420,DC20,Fezile Dabi,District Municipality,ZA4205,FS205,Mafube,Mafube,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,5166,5636,5437,5499,5590,5407,4196,3772,3197,2959,2533,2030,2035,1427,1275,702,436,278,57574
ZA,South Africa,ZA7,GT,Gauteng,Province,ZA742,DC42,Sedibeng,District Municipality,ZA7421,GT421,Emfuleni,Emfuleni,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,68203,62565,58034,60654,69573,68729,57621,53254,49152,43741,37334,34807,25465,19169,12444,6739,3707,2255,733445
ZA,South Africa,ZA7,GT,Gauteng,Province,ZA742,DC42,Sedibeng,District Municipality,ZA7422,GT422,Midvaal,Midvaal,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,8325,9292,8144,8467,9262,10439,8547,8124,7747,7849,6482,6039,3838,3582,2907,1462,673,435,111612
ZA,South Africa,ZA7,GT,Gauteng,Province,ZA742,DC42,Sedibeng,District Municipality,ZA7423,GT423,Lesedi,Lesedi,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,9095,10806,9170,8256,10382,11080,8998,8969,7430,6375,5832,5121,3605,3008,2327,1039,520,458,112472
ZA,South Africa,ZA7,GT,Gauteng,Province,ZA748,DC48,West Rand,District Municipality,ZA7481,GT481,Mogale City,Mogale City,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,32827,27814,26028,28694,34347,37502,30443,33302,28523,28799,22894,17614,13310,9414,5684,3698,1650,1321,383864
ZA,South Africa,ZA7,GT,Gauteng,Province,ZA748,DC48,West Rand,District Municipality,ZA7484,GT484,Merafong City,Merafong City,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,16427,14389,13190,13404,15285,18464,15624,17419,16226,14162,11730,8534,5513,3377,2625,1457,725,290,188843
ZA,South Africa,ZA7,GT,Gauteng,Province,ZA748,DC48,West Rand,District Municipality,ZA7485,GT485,Rand West City,Rand West City,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,23045,20577,19359,19935,23464,24251,21421,24356,20324,18515,14589,14305,8706,5345,3503,2258,1279,654,265887
ZA,South Africa,ZA7,GT,Gauteng,Province,ZA798,JHB,City of Johannesburg,Metropolitan Municipality,ZA7980,JHB,City of Johannesburg,City of Johannesburg,Metropolitan Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,480986,416552,373718,314421,421595,484601,422381,485983,386658,303866,241061,198542,152817,112183,77945,41162,19621,15255,4949347
ZA,South Africa,ZA5,KZN,KwaZulu-Natal,Province,ZA521,DC21,Ugu,District Municipality,ZA5212,KZN212,Umdoni,Umdoni,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,18902,17433,16280,16019,15170,14267,10807,5848,5846,4960,4694,3970,3342,2636,1806,1540,590,442,144551
ZA,South Africa,ZA5,KZN,KwaZulu-Natal,Province,ZA521,DC21,Ugu,District Municipality,ZA5213,KZN213,Umzumbe,Umzumbe,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,20879,22674,20790,17610,14448,12418,9890,5203,5070,4307,4515,3677,3762,2426,1848,988,551,618,151676
ZA,South Africa,ZA5,KZN,KwaZulu-Natal,Province,ZA521,DC21,Ugu,District Municipality,ZA5214,KZN214,uMuziwabantu,uMuziwabantu,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,16907,16535,16662,12708,9930,8561,7432,3462,3737,2940,2727,1883,1659,1272,1027,596,312,225,108576
ZA,South Africa,ZA5,KZN,KwaZulu-Natal,Province,ZA521,DC21,Ugu,District Municipality,ZA5216,KZN216,Ray Nkonyeni,Ray Nkonyeni,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,40371,41686,37704,37660,37526,36579,30709,16251,13540,11576,10442,9479,8790,6086,4484,2975,1506,1168,348533
ZA,South Africa,ZA5,KZN,KwaZulu-Natal,Province,ZA522,DC22,Umgungundlovu,District Municipality,ZA5221,KZN221,uMshwathi,uMshwathi,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,14408,14054,14177,11242,10317,9036,8307,5058,5167,4229,4214,3530,3591,1837,1296,566,325,291,111645
ZA,South Africa,ZA5,KZN,KwaZulu-Natal,Province,ZA522,DC22,Umgungundlovu,District Municipality,ZA5222,KZN222,uMngeni,uMngeni,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,11512,10397,10661,10433,10587,9804,8963,7120,6645,5357,3637,4180,3531,2102,1544,2001,822,570,109867
ZA,South Africa,ZA5,KZN,KwaZulu-Natal,Province,ZA522,DC22,Umgungundlovu,District Municipality,ZA5223,KZN223,Mpofana,Mpofana,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,3955,4971,4096,3165,3528,3904,3233,2246,2185,1725,1290,1116,888,529,294,116,69,82,37391
ZA,South Africa,ZA5,KZN,KwaZulu-Natal,Province,ZA522,DC22,Umgungundlovu,District Municipality,ZA5224,KZN224,Impendle,Impendle,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,4412,4169,4352,3071,2304,2076,1541,1132,1114,1089,858,867,1175,490,394,173,175,134,29526
ZA,South Africa,ZA5,KZN,KwaZulu-Natal,Province,ZA522,DC22,Umgungundlovu,District Municipality,ZA5225,KZN225,The Msunduzi,The Msunduzi,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,75548,72225,65933,60457,67299,71455,60255,46243,38516,30355,25163,20793,18520,11544,6988,3992,2059,1694,679039
ZA,South Africa,ZA5,KZN,KwaZulu-Natal,Province,ZA522,DC22,Umgungundlovu,District Municipality,ZA5226,KZN226,Mkhambathini,Mkhambathini,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,6528,6464,6674,5152,5867,5560,4705,3300,2319,2747,2216,1682,1776,928,716,203,118,121,57075
ZA,South Africa,ZA5,KZN,KwaZulu-Natal,Province,ZA522,DC22,Umgungundlovu,District Municipality,ZA5227,KZN227,Richmond,Richmond,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,10113,9860,8476,6948,6806,5919,4640,3814,3352,2962,2038,2200,1849,1008,524,370,205,235,71322
ZA,South Africa,ZA5,KZN,KwaZulu-Natal,Province,ZA523,DC23,Uthukela,District Municipality,ZA5235,KZN235,Okhahlamba,Okhahlamba,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,18643,18146,16776,15220,12775,12062,9351,5646,5406,4572,3725,3331,3436,2604,1807,838,398,396,135132
ZA,South Africa,ZA5,KZN,KwaZulu-Natal,Province,ZA523,DC23,Uthukela,District Municipality,ZA5237,KZN237,Inkosi Langalibalele,Inkosi Langalibalele,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,28230,26371,23785,25401,22791,19257,15175,10769,8851,7782,6937,6071,5228,3879,2059,1293,510,793,215182
ZA,South Africa,ZA5,KZN,KwaZulu-Natal,Province,ZA523,DC23,Uthukela,District Municipality,ZA5238,KZN238,Alfred Duma,Alfred Duma,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,45035,44752,40561,39513,36403,33556,27258,18148,15049,11287,11030,9646,8381,6755,4208,2363,1378,952,356274
ZA,South Africa,ZA5,KZN,KwaZulu-Natal,Province,ZA524,DC24,Umzinyathi,District Municipality,ZA5241,KZN241,Endumeni,Endumeni,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,8006,7274,7578,9209,9127,8879,7370,3674,3259,2711,2570,1938,1508,1464,1114,549,251,158,76639
ZA,South Africa,ZA5,KZN,KwaZulu-Natal,Province,ZA524,DC24,Umzinyathi,District Municipality,ZA5242,KZN242,Nqutu,Nqutu,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,23307,22960,23092,24124,17690,13773,12049,6184,4634,4324,3941,3533,3620,2996,2504,1128,742,725,171325
ZA,South Africa,ZA5,KZN,KwaZulu-Natal,Province,ZA524,DC24,Umzinyathi,District Municipality,ZA5244,KZN244,Msinga,Msinga,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality,25756,26851,24732,25975,19366,13756,10363,6094,5667,4751,4804,3835,3784,3441,2170,1312,631,1207,184494
