District,PHC(Fixed Clinics),PHC(CHC),Districts_Hospitals,Regional_Hospitals,Tertiary_Hospitals ,Central _Hospitals,Specialised _TB_Hospitals,Specialised_Psychiatric_Hospital ,Chronic/Sub-Acute
UGu,52,2,3,1,0,0,0,0,0
uMgungundlovu,50,3,2,1,1,0,2,3,0
uThukela,36,1,2,1,0,0,0,0,0
uMzinyathi,53,1,4,0,0,0,1,0,0
Amajuba,25,1,1,2,0,0,0,0,0
Zululand,73,1,5,0,0,0,1,1,0
uMkhanyakude,58,1,5,0,0,0,0,0,0
King Cetshwayo,63,1,6,1,1,0,0,0,0
iLembe,34,2,3,1,0,0,0,0,0
Harry Gwala,39,1,4,0,0,0,1,1,0
eThekwini,105,8,4,6,1,1,2,1,2
KZN Total,588,22,39,13,3,1,7,6,2
