level,category,rule,sentiment,updated_at
1,"Health Products","Medical, Hospital Supplies incl medicine, equipment & protective equipment",1,1589195979
1,"Health Products","Toilet Paper, sanitary pads, tampons, condoms",1,1589195979
1,"Health Products","Hand sanitiser, disinfectants, soap, alcohol (industrial use), cleaning products",1,1589195979
1,"Health Products","Products for the care of babies & toddlers",1,1589195979
1,"Health Products","Personal toiletries, including haircare, body and face products, deodorants & dental care products",1,1589195979
1,"Health Products","Veterinary & medical services",1,1589195979
1,"Health Products","Mandatory use of masks and hand hygeine",1,1589195979
1,"Health Products","Social distancing of 2m",1,1589195979
2,"Health Products","Medical, Hospital Supplies incl medicine, equipment & protective equipment",1,1589195979
2,"Health Products","Toilet Paper, sanitary pads, tampons, condoms",1,1589195979
2,"Health Products","Hand sanitiser, disinfectants, soap, alcohol (industrial use), cleaning products",1,1589195979
2,"Health Products","Products for the care of babies & toddlers",1,1589195979
2,"Health Products","Personal toiletries, including haircare, body and face products, deodorants & dental care products",1,1589195979
2,"Health Products","Veterinary & medical services",1,1589195979
2,"Health Products","Mandatory use of masks and hand hygeine",1,1589195979
2,"Health Products","Social distancing of 2m",1,1589195979
3,"Health Products","Medical, Hospital Supplies incl medicine, equipment & protective equipment",1,1589195979
3,"Health Products","Toilet Paper, sanitary pads, tampons, condoms",1,1589195979
3,"Health Products","Hand sanitiser, disinfectants, soap, alcohol (industrial use), cleaning products",1,1589195979
3,"Health Products","Products for the care of babies & toddlers",1,1589195979
3,"Health Products","Personal toiletries, including haircare, body and face products, deodorants & dental care products",1,1589195979
3,"Health Products","Veterinary & medical services",1,1589195979
3,"Health Products","Mandatory use of masks and hand hygeine",1,1589195979
3,"Health Products","Social distancing of 2m",1,1589195979
4,"Health Products","Medical, Hospital Supplies incl medicine, equipment & protective equipment",1,1589195979
4,"Health Products","Toilet Paper, sanitary pads, tampons, condoms",1,1589195979
4,"Health Products","Hand sanitiser, disinfectants, soap, alcohol (industrial use), cleaning products",1,1589195979
4,"Health Products","Products for the care of babies & toddlers",1,1589195979
4,"Health Products","Personal toiletries, including haircare, body and face products, deodorants & dental care products",1,1589195979
4,"Health Products","Veterinary & medical services",1,1589195979
4,"Health Products","Mandatory use of masks and hand hygeine",1,1589195979
4,"Health Products","Social distancing of 2m",1,1589195979
5,"Health Products","Medical, Hospital Supplies incl medicine, equipment & protective equipment",1,1589195979
5,"Health Products","Toilet Paper, sanitary pads, tampons, condoms",1,1589195979
5,"Health Products","Hand sanitiser, disinfectants, soap, alcohol (industrial use), cleaning products",1,1589195979
5,"Health Products","Products for the care of babies & toddlers",1,1589195979
5,"Health Products","Personal toiletries, including haircare, body and face products, deodorants & dental care products",1,1589195979
5,"Health Products","Veterinary & medical services",1,1589195979
5,"Health Products","Mandatory use of masks and hand hygeine",1,1589195979
5,"Health Products","Social distancing of 2m",1,1589195979
1,Groceries,"Any food product, non-alcoholic beverages and animal food",1,1589195979
1,Groceries,"All retail allowed, subject to directions",1,1589195979
1,Groceries,"Mandatory use of masks and hand hygeine",1,1589195979
1,Groceries,"Social distancing of 2m",1,1589195979
2,Groceries,"Any food product, non-alcoholic beverages and animal food",1,1589195979
2,Groceries,"All retail allowed, subject to directions",1,1589195979
2,Groceries,"Mandatory use of masks and hand hygeine",1,1589195979
2,Groceries,"Social distancing of 2m",1,1589195979
3,Groceries,"Any food product, non-alcoholic beverages and animal food",1,1589195979
3,Groceries,"Mandatory use of masks and hand hygeine",1,1589195979
3,Groceries,"Social distancing of 2m",1,1589195979
4,Groceries,"Any food product, non-alcoholic beverages and animal food",1,1589195979
4,Groceries,"Sale of cooked food for home delivery only",1,1589195979
4,Groceries,"Mandatory use of masks and hand hygeine",1,1589195979
4,Groceries,"Social distancing of 2m",1,1589195979
5,Groceries,"Any food product, non-alcoholic beverages and animal food",1,1589195979
5,Groceries,"Mandatory use of masks and hand hygeine",1,1589195979
5,Groceries,"Social distancing of 2m",1,1589195979
1,Fuel,"Fuel, including coal, wood, parafin and gas",1,1589195979
2,Fuel,"Fuel, including coal, wood, parafin and gas",1,1589195979
3,Fuel,"Fuel, including coal, wood, parafin and gas",1,1589195979
4,Fuel,"Fuel, including coal, wood, parafin and gas",1,1589195979
5,Fuel,"Fuel, including coal, wood, parafin and gas",1,1589195979
1,"Waste & Recycling","Cleaning, sanitation, pest control, sewerage, waste and refuse removal services",1,1589195979
1,"Waste & Recycling","Recycling of glass, paper & metal including informal recyclers at full capacity",1,1589195979
2,"Waste & Recycling","Cleaning, sanitation, pest control, sewerage, waste and refuse removal services",1,1589195979
2,"Waste & Recycling","Recycling of glass, paper & metal including informal recyclers at full capacity",1,1589195979
3,"Waste & Recycling","Cleaning, sanitation, pest control, sewerage, waste and refuse removal services",1,1589195979
3,"Waste & Recycling","Recycling of glass, paper & metal including informal recyclers at full capacity",1,1589195979
4,"Waste & Recycling","Cleaning, sanitation, pest control, sewerage, waste and refuse removal services",1,1589195979
4,"Waste & Recycling","Recycling of glass, paper & metal including informal recyclers at half capacity",1,1589195979
5,"Waste & Recycling","No Recycling services",0,1589195979
5,"Waste & Recycling","Cleaning, sanitation, pest control, sewerage, waste and refuse removal services",1,1589195979
1,Media,"Online services",1,1589195979
1,Media,"Productions for local broadcast; and live streaming in support of COVID-19 subject to directions",1,1589195979
1,Media,"Newspapers and broadcasting",1,1589195979
2,Media,"Online services",1,1589195979
2,Media,"Productions for local broadcast; and live streaming in support of COVID-19 subject to directions",1,1589195979
2,Media,"Newspapers and broadcasting",1,1589195979
3,Media,"Online services",1,1589195979
3,Media,"Productions for local broadcast; and live streaming in support of COVID-19 subject to directions",1,1589195979
3,Media,"Newspapers and broadcasting",1,1589195979
4,Media,"Online services",1,1589195979
4,Media,"Productions for local broadcast; and live streaming in support of COVID-19 subject to directions",1,1589195979
4,Media,"Newspapers and broadcasting",1,1589195979
5,Media,"Online services",1,1589195979
5,Media,"Productions for local broadcast; and live streaming in support of COVID-19 subject to directions",1,1589195979
5,Media,"Newspapers and broadcasting",1,1589195979
1,"Mobile & I.T.","All telecommunication services and infrastructure",1,1589195979
1,"Mobile & I.T.","Information and Communication Technology services for private and business customers",1,1589195979
1,"Mobile & I.T.","Personal ICT equipment including computers, mobile telephones and home office equipment",1,1589195979
2,"Mobile & I.T.","All telecommunication services and infrastructure",1,1589195979
2,"Mobile & I.T.","Information and Communication Technology services for private and business customers",1,1589195979
2,"Mobile & I.T.","Personal ICT equipment including computers, mobile telephones and home office equipment",1,1589195979
3,"Mobile & I.T.","All telecommunication services and infrastructure",1,1589195979
3,"Mobile & I.T.","Information and Communication Technology services for private and business customers",1,1589195979
3,"Mobile & I.T.","Personal ICT equipment including computers, mobile telephones and home office equipment",1,1589195979
4,"Mobile & I.T.","All telecommunication services and infrastructure",1,1589195979
