hospital_id,name,ceo,postal_address,physical_address,contact_number,email,
1,Addington Hospital,Dr M Ndlangisa,P. O. Box 977 Durban 4000,"16 Erskine Terrace South Beach, Durban",Tel: (031) 327 2000,Mthetheleli.Ndlangisa@kznhealth.gov.za,
2,Appelsbosch Hospital,Mr TL Gwele,P/ Bag X215 Ozwathini 3242,"From PMB, take Greytown road and then take Wartburg rd. Go past Wartburg, do not turn at Dalton, carry on until you reach the sugar mill, then turn right and pass Fawnleas, Glenside, Montebello and Appelsbosch Supermarket (on left). Then look for sign for Appelsbosch hospital",Tel: (032) 294 8000,thando.gwele@kznhealth.gov.za,
3,Benedictine Hospital,Mr BR Khumalo,P/Bag X5007 Nongoma 3950,"Main Road, Nongoma",Tel: (035) 831 7000,Bonginkosi.Khumalo3@kznhealth.gov.za,
4,Bethesda Hospital,Ms S Nkonyane,P/Bag X602 Umbombo 3970,"N2 North to Mkuze, left at T-junction, 3 km to Ubombo, turn right and go 18 km",Tel:(035) 595 3100,nkonyane.sibongile@kznhealth.gov.za,
5,Catherine Booth Hospital,Mrs TR Vezi,P/ Bag X105 Amathikulu 3801,"N2 North from Gingindlovu to Amatikulu Sugar Mill, turn right and travel 12 km along gravel road through sugar cane and banana fields until you reach the hospital. The route is well sign-posted.",Tel: 035 474 8407,Tholakele.Zulu@kznhealth.gov.za,
6,Ceza Hospital,Mr SP Zulu,P/Bag X200 Ceza 3866,"Go to Ulundi , from King Dinizulu Highway go about 20 km's North to Ceza hospital.",Tel: (035) 832 5000,zodwa.mncwango@kznhealth.gov.za,
7,Charles James Hospital,Dr S Ntshanga (acting),Private Bag X20050 Amanzimtoti 4125,"No. 6 Sompukane Road, Ezimbokodweni 4125. (Old south coast main road)",Tel: (031) 905 4222/3,sbongile.ntshanga@kznhealth.gov.za,
8,Charles Johnson Memorial Hospital,Ms MZ Khanyile,P/Bag X5503 Nquthu 3135,"Lot 92, Hlubi Street,Nquthu",Tel: (034) 271 6400,zodwa.khanyile@kznhealth.gov.za,
9,Christ the King Hospital,Mrs SW Maseko,P/Bag X542 Ixopo 3276,"Peter Hauff Drive, Ixopo",Tel: (039) 834 7500,Siphiwe.Maseko@kznhealth.gov.za,
10,Church of Scotland Hospital,Mrs B Dlomo,P/Bag X502 Tugela Ferry 3010,On the Greytown road go through Greytown and look for a board saying Tugela Ferry. Turn left at that board and go on until you reach Tugela Ferry town. On the left and right you will see shops. Look for board on your right saying hospital.,Tel: (033) 493 1000,bukeliwe.dlomo@kznhealth.gov.za,
