name,Key
Addington Hospital,1
Appelsbosch Hospital,2
Benedictine Hospital,3
Bethesda Hospital,4
Catherine Booth Hospital,5
Ceza Hospital,6
Charles James Hospital,7
Charles Johnson Memorial Hospital,8
Christ the King Hospital,9
Church of Scotland Hospital,10
Clairwood Hospital,11
Don McKenzie Hospital,12
Doris Goodwin Hospital,13
Dundee hospital,14
E.G & Usher Memorial hospital,15
Edendale Hospital,16
Ekombe Hospital,17
Ekuhlengeni Psychiatric Hospital,18
Emmaus Hospital,19
Eshowe Hospital,20
Estcourt Hospital,21
Fort Napier Hospital,22
G.J. Crookes Hospital,23
General Justice Gizenga Mpanza Regional Hospital(formerly Stanger Hospital),24
Grey's Hospital,25
Greytown Hospital,26
Hillcrest Hospital,27
Hlabisa Hospital,28
Inkosi Albert Luthuli Central Hospital,29
Itshelejuba Hospital,30
King Dinuzulu Hospital Complex,31
King Edward VIII Hospital,32
KwaMagwaza Hospital,33
KZN Children's Hospital,34
Ladysmith Hospital,35
Madadeni Hospital,36
Mahatma Gandhi Hospital,37
Manguzi Hospital,38
Mbongolwane Hospital,39
McCord Provincial Eye Hospital,40
Montebello Hospital,41
Mosvold Hospital,42
Mseleni Hospital,43
Murchison Hospital,44
Newcastle Hospital,45
Ngwelezana Hospital,46
Niemeyer Memorial Hospital,47
Nkandla Hospital,48
Nkonjeni Hospital,49
Northdale Hospital,50
Osindisweni Hospital,51
Port Shepstone Hospital,52
Prince Mshiyeni Hospital,53
Queen Nandi Hospital,54
R. K. Khan Hospital,55
Richmond Hospital,56
Rietvlei Hospital,57
Siloah Lutheran Mission,58
St Mary's Hospital,59
St. Aidan's Hospital,60
St. Andrews Hospital,61
St. Apollinaris Hospital,62
St. Francis Hospital,63
St. Margaret's Hospital,64
Thulasizwe Hospital,65
Town Hill Hospital,66
Umgeni Hospital,67
Umphumulo Hospital,68
Umzimkhulu Hospital,69
Untunjambili Hospital,70
Vryheid Hospital,71
Wentworth Hospital,72
Khotsong TB Hospital,73
NHN Matatiele Prv Hospital,74
T Bequest Hospital (Mat),75
Greenville Hospital,76
St Patrick's Hospital,77
Sipetu Hospital,78
Madzikane Hospital,79
Mt Ayliff Hospital,80
Cathcart Hospital,81
SS Gida Hospital,82
Stutterheim Hospital,83
Komga Hospital,84
Madwaleni Hospital,85
Butterworth Hospital,86
Tafalofefe Hospital,87
Nompumelelo Hospital,88
Adelaide Hospital,89
Bedford Hospital,90
Fort Beaufort Hospital,91
Tower Hospital,92
Victoria Hospital,93
Winterberg TB Hospital,94
Bhisho Hospital,95
C Makiwane Hospital,96
Fort Grey TB Hospital,97
Frere Hospital,98
Grey Hospital,99
Life Beacon Bay Hospital,100
Life E London Prv Hospital,101
Life Grey Monument Clinic Hospital,102
Life St Dominic's Hospital,103
Life St James Hospital,104
Life St Mark's Hospital,105
Newhaven Hospital,106
NHN East London Eye Hospital,107
NHN Icare Gonubie Med Centre,108
Nkqubela Hospital,109
Dordrecht Hospital,110
Glen Grey Hospital,111
Indwe Hospital,112
All Saints Hospital,113
Mjanyana Hospital,114
Frontier Hospital,115
Hewu Hospital,116
Komani Hospital,117
Life Queenstown Prv Hospital,118
M Venter Hospital,119
Molteno Hospital,120
NHN Care Cure Queenstown Sub-Acute Hospital,121
Sterkstroom Hospital,122
Cofimvaba Hospital,123
Cradock Hospital,124
W Stahl Hospital,125
Cala Hospital,126
Elliot Hospital,127
Maclear Hospital,128
T Bequest Hospital (Elu),129
Cloete Joubert Hospital,130
Empilisweni Hospital,131
L Grey Hospital,132
Umlamli Hospital,133
Aliwal North Hospital,134
Burgersdorp Hospital,135
Jamestown Hospital,136
Steynsburg Hospital,137
St Francis Hospital,138
Dora Nginza Hospital,139
J Pearson TB Hospital,140
Netcare Cuyler Hospital,141
Orsmond TB Hospital,142
Uitenhage Hospital,143
Elizabeth Donkin Hospital,144
Empilweni TB Hospital,145
Life Hunterscraig Hospital,146
Life Mercantile Hospital,147
Life St George's Hospital,148
Livingstone Hospital,149
Netcare Greenacres Hospital,150
NHN Aurora Rehab Hospital,151
NHN Icare Walmer Med Centre,152
Oasim Hospital,153
